,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,iLISI,cLISI,hvg_overlap,Bio_Conservation_avg,Batch_Correction_avg,Final_Score,Time
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.2}",0.812306314,0.586826688,0.684746131,0.781917885,0.835081213,0.068292683,0.69979462,0.998030329,0.32032768,1,0.176444444,0.607936512,0.717179605,0.651633749,146.7854977
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.4}",0.957845272,0.979673189,0.694208011,0.812939573,0.792545201,0.197183099,0.701423988,0.99948248,0.264909056,1,0.284222222,0.700887623,0.702821373,0.701661123,142.8736525
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.6}",0.961042902,0.982306664,0.657150403,0.839110021,0.854587385,0.264150943,0.73910442,0.991659556,0.238520787,1,0.377111111,0.729431729,0.706307122,0.720181886,151.7124131
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.8}",0.883453004,0.915885261,0.615161248,0.754561144,0.76276401,0.274509804,0.814981014,0.981815411,0.359168926,1,0.440222222,0.71337207,0.745605492,0.726265439,142.7941198
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.2}",0.979214458,0.988055608,0.735640556,0.824451799,0.650123709,0.307692308,0.709134102,0.981548629,0.237710917,1,0.211777778,0.697704815,0.680320858,0.690751232,146.0733931
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.4}",0.958915662,0.980071668,0.667718738,0.792082463,0.810587234,0.24137931,0.562739335,0.999613038,0.266758483,1,0.269111111,0.686315382,0.707798468,0.694908617,147.3748865
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.6}",0.948836444,0.970877012,0.637025088,0.819203587,0.774350144,0.172839506,0.834566146,0.998584599,0.263827146,1,0.384666667,0.715395126,0.717168435,0.71610445,150.6935585
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.8}",0.897366991,0.941232243,0.686323941,0.763088725,0.878352668,0.14,0.67571108,0.992959159,0.383465585,1,0.409555556,0.70356781,0.720789573,0.710456515,152.3970671
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.2}",0.97921706,0.989047922,0.673343956,0.81461776,0.683475947,0.152173913,0.743630499,0.9995399,0.218459609,1,0.254444444,0.684416718,0.66142933,0.675221763,149.7164946
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.4}",0.977278728,0.986819334,0.666862696,0.833781144,0.801370756,0.245614035,0.799856454,0.999822461,0.244574969,1,0.234888889,0.714086362,0.699833027,0.708385028,149.0553632
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.6}",0.792483157,0.762968604,0.673071966,0.788321431,0.698700031,0.068627451,0.696891218,0.996294111,0.373707586,1,0.276,0.621092803,0.741006252,0.669058183,159.4146712
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.8}",0.910005037,0.949213456,0.630059376,0.788595778,0.72501851,0.103703704,0.690161467,0.996860427,0.293725443,1,0.378444444,0.673325749,0.698285563,0.683309675,157.5027659
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.2}",0.991201199,0.994504338,0.705956012,0.853566976,0.702273131,0.25,0.738174066,0.999882968,0.19545111,1,0.3,0.710263593,0.657627483,0.689209149,159.9550731
