,Final_Score_geneAtac,Final_Score_pancreas,avg_Batch_Correction,avg_Bio_Conservation,avg_final_score
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.8}",0.8428642690833332,0.7083694831041667,0.7463581029999999,0.8048756491875,0.77561687609375
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.4}",0.8029034881666666,0.7369747776666666,0.6911034363333333,0.8487748294999999,0.7699391329166666
"{'LR': None, 'L_Dim': 512, 'Rec_Loss_W': 0.8}",0.8362882296666666,0.7031029581874999,0.7247468121666666,0.8146443756874999,0.7696955939270833
"{'LR': 0.001, 'L_Dim': 512, 'Rec_Loss_W': 0.4}",0.8234493075833332,0.7149627271875,0.7153284363333332,0.8230835984375,0.7692060173854166
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.8}",0.8258831171666666,0.7054154031666666,0.7165188593333334,0.814779661,0.7656492601666667
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.6}",0.8262700360000002,0.7046334516041668,0.7187894741666667,0.8121140134375001,0.7654517438020835
"{'LR': None, 'L_Dim': 512, 'Rec_Loss_W': 0.4}",0.8202559224999999,0.7076373700416667,0.7082675041666666,0.819625788375,0.7639466462708333
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.6}",0.8143313308333333,0.7095975915833334,0.738639654,0.7852892684166667,0.7619644612083334
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.6}",0.8358863523333333,0.6872016038333333,0.7252114843333333,0.7978764718333333,0.7615439780833333
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.4}",0.8348949235833334,0.6862333551249999,0.7208374551666665,0.8002908235416667,0.7605641393541667
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.4}",0.8169042659166668,0.7034062764166666,0.719180229,0.8011303133333333,0.7601552711666667
"{'LR': 0.0002, 'L_Dim': 128, 'Rec_Loss_W': 0.6}",0.82151391325,0.6955056188125001,0.7270406133333334,0.7899789187291667,0.7585097660312501
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.8}",0.8099099762499999,0.7059436153541667,0.7342023046666667,0.7816512869375001,0.7579267958020833
"{'LR': None, 'L_Dim': 1024, 'Rec_Loss_W': 0.4}",0.8130729608333334,0.6955377764375001,0.6927312343333334,0.8158795029375001,0.7543053686354168
"{'LR': 0.0002, 'L_Dim': 128, 'Rec_Loss_W': 0.4}",0.8146543393333333,0.693326810375,0.7352773621666666,0.7727037875416667,0.7539905748541667
"{'LR': 0.0001, 'L_Dim': 32, 'Rec_Loss_W': 0.8}",0.8216675705833333,0.6861333107083333,0.7252644684999999,0.7825364127916666,0.7539004406458333
"{'LR': None, 'L_Dim': 512, 'Rec_Loss_W': 0.6}",0.8284599507499999,0.6787425997708334,0.703588767,0.8036137835208333,0.7536012752604166
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.2}",0.8080291428333334,0.696615305625,0.7063218966666667,0.7983225517916667,0.7523222242291667
"{'LR': 0.0002, 'L_Dim': 128, 'Rec_Loss_W': 0.8}",0.8176240108333332,0.6841088256041666,0.7326513403333332,0.7690814961041667,0.7508664182187499
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.8}",0.8172012373333333,0.6831931492916667,0.7128880153333333,0.7875063712916666,0.7501971933125
"{'LR': 0.0001, 'L_Dim': 32, 'Rec_Loss_W': 0.6}",0.8043742801666667,0.6937073408125,0.7428113896666666,0.7552702313124999,0.7490408104895834
"{'LR': None, 'L_Dim': 512, 'Rec_Loss_W': 0.2}",0.8180673599166668,0.6796902926666666,0.7043957121666666,0.7933619404166667,0.7488788262916667
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.4}",0.7994501051666667,0.6966656628750001,0.7389358955,0.7571798725416667,0.7480578840208334
