,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,isolated_label_F1,isolated_label_silhouette,graph_conn,iLISI,cLISI,Bio_Conservation_avg,Batch_Correction_avg,Final_Score,Time
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.2}",0.912065525,0.738628361,0.757202119,0.849865911,0.953822274,0.771530002,0.99976896,0.585354354,1,0.756273564,0.677627241,0.724815035,111.0886679
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.4}",0.811047004,0.605740707,0.738901019,0.802757293,0.992565056,0.732578948,0.997102061,0.55642491,1,0.717642772,0.589071066,0.666214089,104.6347616
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.6}",0.800758031,0.72820081,0.796622217,0.748818343,0.956930872,0.766187578,0.985496068,0.628233149,0.998181342,0.748506788,0.59063689,0.685358829,103.6854312
"{'LR': None, 'L_Dim': 32, 'Rec_Loss_W': 0.8}",0.844700691,0.724417545,0.727859065,0.83115214,0.996648045,0.805957675,0.997889156,0.480627051,1,0.752988051,0.577417087,0.682759665,102.2312779
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.2}",0.952923586,0.956956693,0.656039983,0.771299899,0.98956003,0.712432206,0.999227433,0.390869037,1,0.775511309,0.590797428,0.701625757,103.5174932
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.4}",0.968017466,0.971575521,0.778505743,0.815945365,0.995169082,0.772329777,0.998973668,0.451651714,1,0.805942513,0.566642687,0.710222582,103.5015483
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.6}",0.992643984,0.99553424,0.741595924,0.820640049,0.997394864,0.725828394,1,0.410481464,1,0.804523439,0.557780378,0.705826215,104.1963506
"{'LR': None, 'L_Dim': 64, 'Rec_Loss_W': 0.8}",0.988912739,0.992559539,0.753537387,0.847401518,0.997394864,0.704696402,0.999554595,0.491679036,1,0.806157276,0.729187244,0.775369263,105.5480802
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.2}",0.974138966,0.98149219,0.637642622,0.744605903,0.99553239,0.657027915,0.999227433,0.373278843,1,0.773500107,0.562663883,0.689165617,105.2142193
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.4}",0.988073231,0.992628998,0.642194107,0.778410222,0.988938053,0.717211202,0.999881594,0.458610984,1,0.786244608,0.5592257,0.695437045,105.2655666
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.6}",0.981985694,0.99085299,0.693530247,0.798783864,0.993323442,0.714562744,0.998881808,0.347192717,1,0.789941207,0.536214597,0.688450563,105.7919378
"{'LR': None, 'L_Dim': 128, 'Rec_Loss_W': 0.8}",0.996623157,0.998589807,0.708330631,0.848492049,0.997767857,0.708810508,0.999893944,0.349760451,1,0.802493613,0.559988142,0.705491425,106.5672274
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.2}",0.976131712,0.984199262,0.656238109,0.767585029,0.988556663,0.713163316,0.999575777,0.42186952,1,0.784422247,0.547257582,0.689556381,103.2620194
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.4}",0.987179679,0.993337844,0.680917382,0.78797076,0.993323442,0.727960825,0.999575777,0.338514806,1,0.790007501,0.572213066,0.702889727,104.2906847
"{'LR': None, 'L_Dim': 256, 'Rec_Loss_W': 0.6}",0.981268972,0.986614062,0.722445771,0.773554562,0.995552261,0.80948925,0.999940797,0.494137597,1,0.808005283,0.566908239,0.711566466,103.0358291
